Item_Identifier,Item_Weight
FDZ14,7.71
FDV21,11.5
FDH31,12.0
NCM19,12.65
FDX13,7.725
FDJ32,10.695
FDV13,17.35
NCU53,5.485
FDE38,6.52
NCD55,14.0
FDZ50,12.8
DRC49,8.67
FDC28,7.905
FDO08,11.1
FDD28,10.695
FDG04,13.1
NCF55,6.675
NCW30,5.21
NCW05,20.25
FDS09,8.895
FDU43,19.35
FDO49,10.6
NCT53,5.4
